x,y,cost
16.0,-3.0,253
16.0,-3.05,253
16.0,-3.1,253
16.0,-3.15,253
16.0,-3.2,253
16.0,-3.25,253
16.0,-3.3,253
16.0,-3.35,253
16.0,-3.4,253
16.0,-3.45,253
16.0,-3.5,253
16.0,-3.55,253
16.0,-3.6,253
16.0,-3.65,253
16.0,-3.7,253
16.0,-3.75,253
16.0,-3.8,253
16.0,-3.85,253
16.0,-3.9,253
16.0,-3.95,253
16.0,-4.0,253
16.0,-4.05,253
16.0,-4.1,253
16.0,-4.15,253
16.0,-4.2,253
16.0,-4.25,253
16.0,-4.3,253
16.0,-4.35,253
16.0,-4.4,253
16.0,-4.45,253
16.0,-4.5,253
16.0,-4.55,253
16.0,-4.6,253
16.0,-4.65,253
16.0,-4.7,253
16.0,-4.75,253
16.0,-4.8,253
16.0,-4.85,253
16.0,-4.9,253
16.0,-4.95,253
16.0,-5.0,253
16.0,-5.05,253
16.0,-5.1,253
16.0,-5.15,253
16.0,-5.2,253
16.0,-5.25,253
16.0,-5.3,253
16.0,-5.35,253
16.0,-5.4,253
16.0,-5.45,253
16.0,-5.5,253
16.0,-5.55,253
16.0,-5.6,253
16.0,-5.65,253
16.0,-5.7,253
16.0,-5.75,253
16.0,-5.8,253
16.0,-5.85,253
16.0,-5.9,253
16.05,-3.0,253
16.05,-3.05,253
16.05,-3.1,253
16.05,-3.15,253
16.05,-3.2,253
16.05,-3.25,253
16.05,-3.3,253
16.05,-3.35,253
16.05,-3.4,253
16.05,-3.45,253
16.05,-3.5,253
16.05,-3.55,253
16.05,-3.6,253
16.05,-3.65,253
16.05,-3.7,253
16.05,-3.75,253
16.05,-3.8,253
16.05,-3.85,253
16.05,-3.9,253
16.05,-3.95,253
16.05,-4.0,253
16.05,-4.05,253
16.05,-4.1,253
16.05,-4.15,253
16.05,-4.2,253
16.05,-4.25,253
16.05,-4.3,253
16.05,-4.35,253
16.05,-4.4,253
16.05,-4.45,253
16.05,-4.5,253
16.05,-4.55,253
16.05,-4.6,253
16.05,-4.65,253
16.05,-4.7,253
16.05,-4.75,253
16.05,-4.8,253
16.05,-4.85,253
16.05,-4.9,253
16.05,-4.95,253
16.05,-5.0,253
16.05,-5.05,253
16.05,-5.1,253
16.05,-5.15,253
16.05,-5.2,253
16.05,-5.25,253
16.05,-5.3,253
16.05,-5.35,253
16.05,-5.4,253
16.05,-5.45,253
16.05,-5.5,253
16.05,-5.55,253
16.05,-5.6,253
16.05,-5.65,253
16.05,-5.7,253
16.05,-5.75,253
16.05,-5.8,253
16.05,-5.85,253
16.05,-5.9,253
16.1,-3.0,253
16.1,-3.05,253
16.1,-3.1,253
16.1,-3.15,253
16.1,-3.2,253
16.1,-3.25,253
16.1,-3.3,253
16.1,-3.35,253
16.1,-3.4,253
16.1,-3.45,253
16.1,-3.5,253
16.1,-3.55,253
16.1,-3.6,253
16.1,-3.65,253
16.1,-3.7,253
16.1,-3.75,253
16.1,-3.8,253
16.1,-3.85,253
16.1,-3.9,253
16.1,-3.95,253
16.1,-4.0,253
16.1,-4.05,253
16.1,-4.1,253
16.1,-4.15,253
16.1,-4.2,253
16.1,-4.25,253
16.1,-4.3,253
16.1,-4.35,253
16.1,-4.4,253
16.1,-4.45,253
16.1,-4.5,253
16.1,-4.55,253
16.1,-4.6,253
16.1,-4.65,253
16.1,-4.7,253
16.1,-4.75,253
16.1,-4.8,253
16.1,-4.85,253
16.1,-4.9,253
16.1,-4.95,253
16.1,-5.0,253
16.1,-5.05,253
16.1,-5.1,253
16.1,-5.15,253
16.1,-5.2,253
16.1,-5.25,253
16.1,-5.3,253
16.1,-5.35,253
16.1,-5.4,253
16.1,-5.45,253
16.1,-5.5,253
16.1,-5.55,253
16.1,-5.6,253
16.1,-5.65,253
16.1,-5.7,253
16.1,-5.75,253
16.1,-5.8,253
16.1,-5.85,253
16.1,-5.9,253
16.15,-3.0,253
16.15,-3.05,253
16.15,-3.1,253
16.15,-3.15,253
16.15,-3.2,253
16.15,-3.25,253
16.15,-3.3,253
16.15,-3.35,253
16.15,-3.4,253
16.15,-3.45,253
16.15,-3.5,253
16.15,-3.55,253
16.15,-3.6,253
16.15,-3.65,253
16.15,-3.7,253
16.15,-3.75,253
16.15,-3.8,253
16.15,-3.85,253
16.15,-3.9,253
16.15,-3.95,253
16.15,-4.0,253
16.15,-4.05,253
16.15,-4.1,253
16.15,-4.15,253
16.15,-4.2,253
16.15,-4.25,253
16.15,-4.3,253
16.15,-4.35,253
16.15,-4.4,253
16.15,-4.45,253
16.15,-4.5,253
16.15,-4.55,253
16.15,-4.6,253
16.15,-4.65,253
16.15,-4.7,253
16.15,-4.75,253
16.15,-4.8,253
16.15,-4.85,253
16.15,-4.9,253
16.15,-4.95,253
16.15,-5.0,253
16.15,-5.05,253
16.15,-5.1,253
16.15,-5.15,253
16.15,-5.2,253
16.15,-5.25,253
16.15,-5.3,253
16.15,-5.35,253
16.15,-5.4,253
16.15,-5.45,253
16.15,-5.5,253
16.15,-5.55,253
16.15,-5.6,253
16.15,-5.65,253
16.15,-5.7,253
16.15,-5.75,253
16.15,-5.8,253
16.15,-5.85,253
16.15,-5.9,253
16.2,-3.0,253
16.2,-3.05,253
16.2,-3.1,253
16.2,-3.15,253
16.2,-3.2,253
16.2,-3.25,253
16.2,-3.3,253
16.2,-3.35,253
16.2,-3.4,253
16.2,-3.45,253
16.2,-3.5,253
16.2,-3.55,253
16.2,-3.6,253
16.2,-3.65,253
16.2,-3.7,253
16.2,-3.75,253
16.2,-3.8,253
16.2,-3.85,253
16.2,-3.9,253
16.2,-3.95,253
16.2,-4.0,253
16.2,-4.05,253
16.2,-4.1,253
16.2,-4.15,253
16.2,-4.2,253
16.2,-4.25,253
16.2,-4.3,253
16.2,-4.35,253
16.2,-4.4,253
16.2,-4.45,253
16.2,-4.5,253
16.2,-4.55,253
16.2,-4.6,253
16.2,-4.65,253
16.2,-4.7,253
16.2,-4.75,253
16.2,-4.8,253
16.2,-4.85,253
16.2,-4.9,253
16.2,-4.95,253
16.2,-5.0,253
16.2,-5.05,253
16.2,-5.1,253
16.2,-5.15,253
16.2,-5.2,253
16.2,-5.25,253
16.2,-5.3,253
16.2,-5.35,253
16.2,-5.4,253
16.2,-5.45,253
16.2,-5.5,253
16.2,-5.55,253
16.2,-5.6,253
16.2,-5.65,253
16.2,-5.7,253
16.2,-5.75,253
16.2,-5.8,253
16.2,-5.85,253
16.2,-5.9,253
16.25,-3.0,253
16.25,-3.05,253
16.25,-3.1,253
16.25,-3.15,253
16.25,-3.2,253
16.25,-3.25,253
16.25,-3.3,253
16.25,-3.35,253
16.25,-3.4,253
16.25,-3.45,253
16.25,-3.5,253
16.25,-3.55,253
16.25,-3.6,253
16.25,-3.65,253
16.25,-3.7,253
16.25,-3.75,253
16.25,-3.8,253
16.25,-3.85,253
16.25,-3.9,253
16.25,-3.95,253
16.25,-4.0,253
16.25,-4.05,253
16.25,-4.1,253
16.25,-4.15,253
16.25,-4.2,253
16.25,-4.25,253
16.25,-4.3,253
16.25,-4.35,253
16.25,-4.4,253
16.25,-4.45,253
16.25,-4.5,253
16.25,-4.55,253
16.25,-4.6,253
16.25,-4.65,253
16.25,-4.7,253
16.25,-4.75,253
16.25,-4.8,253
16.25,-4.85,253
16.25,-4.9,253
16.25,-4.95,253
16.25,-5.0,253
16.25,-5.05,253
16.25,-5.1,253
16.25,-5.15,253
16.25,-5.2,253
16.25,-5.25,253
16.25,-5.3,253
16.25,-5.35,253
16.25,-5.4,253
16.25,-5.45,253
16.25,-5.5,253
16.25,-5.55,253
16.25,-5.6,253
16.25,-5.65,253
16.25,-5.7,253
16.25,-5.75,253
16.25,-5.8,253
16.25,-5.85,253
16.25,-5.9,253
16.3,-3.0,253
16.3,-3.05,253
16.3,-3.1,253
16.3,-3.15,253
16.3,-3.2,253
16.3,-3.25,253
16.3,-3.3,253
16.3,-3.35,253
16.3,-3.4,253
16.3,-3.45,253
16.3,-3.5,253
16.3,-3.55,253
16.3,-3.6,253
16.3,-3.65,253
16.3,-3.7,253
16.3,-3.75,253
16.3,-3.8,253
16.3,-3.85,253
16.3,-3.9,253
16.3,-3.95,253
16.3,-4.0,253
16.3,-4.05,253
16.3,-4.1,253
16.3,-4.15,253
16.3,-4.2,253
16.3,-4.25,253
16.3,-4.3,253
16.3,-4.35,253
16.3,-4.4,253
16.3,-4.45,253
16.3,-4.5,253
16.3,-4.55,253
16.3,-4.6,253
16.3,-4.65,253
16.3,-4.7,253
16.3,-4.75,253
16.3,-4.8,253
16.3,-4.85,253
16.3,-4.9,253
16.3,-4.95,253
16.3,-5.0,253
16.3,-5.05,253
16.3,-5.1,253
16.3,-5.15,253
16.3,-5.2,253
16.3,-5.25,253
16.3,-5.3,253
16.3,-5.35,253
16.3,-5.4,253
16.3,-5.45,253
16.3,-5.5,253
16.3,-5.55,253
16.3,-5.6,253
16.3,-5.65,253
16.3,-5.7,253
16.3,-5.75,253
16.3,-5.8,253
16.3,-5.85,253
16.3,-5.9,253
16.35,-3.0,253
16.35,-3.05,253
16.35,-3.1,253
16.35,-3.15,253
16.35,-3.2,253
16.35,-3.25,253
16.35,-3.3,253
16.35,-3.35,253
16.35,-3.4,253
16.35,-3.45,253
16.35,-3.5,253
16.35,-3.55,253
16.35,-3.6,253
16.35,-3.65,253
16.35,-3.7,253
16.35,-3.75,253
16.35,-3.8,253
16.35,-3.85,253
16.35,-3.9,253
16.35,-3.95,253
16.35,-4.0,253
16.35,-4.05,253
16.35,-4.1,253
16.35,-4.15,253
16.35,-4.2,253
16.35,-4.25,253
16.35,-4.3,253
16.35,-4.35,253
16.35,-4.4,253
16.35,-4.45,253
16.35,-4.5,253
16.35,-4.55,253
16.35,-4.6,253
16.35,-4.65,253
16.35,-4.7,253
16.35,-4.75,253
16.35,-4.8,253
16.35,-4.85,253
16.35,-4.9,253
16.35,-4.95,253
16.35,-5.0,253
16.35,-5.05,253
16.35,-5.1,253
16.35,-5.15,253
16.35,-5.2,253
16.35,-5.25,253
16.35,-5.3,253
16.35,-5.35,253
16.35,-5.4,253
16.35,-5.45,253
16.35,-5.5,253
16.35,-5.55,253
16.35,-5.6,253
16.35,-5.65,253
16.35,-5.7,253
16.35,-5.75,253
16.35,-5.8,253
16.35,-5.85,253
16.35,-5.9,253
16.4,-3.0,253
16.4,-3.05,253
16.4,-3.1,253
16.4,-3.15,253
16.4,-3.2,253
16.4,-3.25,253
