x,y,cost
16.0,-12.1,253
16.0,-12.15,253
16.0,-12.2,253
16.0,-12.25,253
16.0,-12.3,253
16.0,-12.35,253
16.0,-12.4,253
16.0,-12.45,253
16.0,-12.5,253
16.0,-12.55,253
16.0,-12.6,253
16.0,-12.65,253
16.0,-12.7,253
16.0,-12.75,253
16.0,-12.8,253
16.0,-12.85,253
16.0,-12.9,253
16.0,-12.95,253
16.0,-13.0,253
16.0,-13.05,253
16.0,-13.1,253
16.0,-13.15,253
16.0,-13.2,253
16.0,-13.25,253
16.0,-13.3,253
16.0,-13.35,253
16.0,-13.4,253
16.0,-13.45,253
16.0,-13.5,253
16.0,-13.55,253
16.0,-13.6,253
16.0,-13.65,253
16.0,-13.7,253
16.0,-13.75,253
16.0,-13.8,253
16.0,-13.85,253
16.0,-13.9,253
16.0,-13.95,253
16.0,-14.0,253
16.0,-14.05,253
16.0,-14.1,253
16.0,-14.15,253
16.0,-14.2,253
16.0,-14.25,253
16.0,-14.3,253
16.0,-14.35,253
16.0,-14.4,253
16.0,-14.45,253
16.0,-14.5,253
16.0,-14.55,253
16.0,-14.6,253
16.0,-14.65,253
16.0,-14.7,253
16.0,-14.75,253
16.0,-14.8,253
16.0,-14.85,253
16.0,-14.9,253
16.0,-14.95,253
16.0,-15.0,253
16.05,-12.1,253
16.05,-12.15,253
16.05,-12.2,253
16.05,-12.25,253
16.05,-12.3,253
16.05,-12.35,253
16.05,-12.4,253
16.05,-12.45,253
16.05,-12.5,253
16.05,-12.55,253
16.05,-12.6,253
16.05,-12.65,253
16.05,-12.7,253
16.05,-12.75,253
16.05,-12.8,253
16.05,-12.85,253
16.05,-12.9,253
16.05,-12.95,253
16.05,-13.0,253
16.05,-13.05,253
16.05,-13.1,253
16.05,-13.15,253
16.05,-13.2,253
16.05,-13.25,253
16.05,-13.3,253
16.05,-13.35,253
16.05,-13.4,253
16.05,-13.45,253
16.05,-13.5,253
16.05,-13.55,253
16.05,-13.6,253
16.05,-13.65,253
16.05,-13.7,253
16.05,-13.75,253
16.05,-13.8,253
16.05,-13.85,253
16.05,-13.9,253
16.05,-13.95,253
16.05,-14.0,253
16.05,-14.05,253
16.05,-14.1,253
16.05,-14.15,253
16.05,-14.2,253
16.05,-14.25,253
16.05,-14.3,253
16.05,-14.35,253
16.05,-14.4,253
16.05,-14.45,253
16.05,-14.5,253
16.05,-14.55,253
16.05,-14.6,253
16.05,-14.65,253
16.05,-14.7,253
16.05,-14.75,253
16.05,-14.8,253
16.05,-14.85,253
16.05,-14.9,253
16.05,-14.95,253
16.05,-15.0,253
16.1,-12.1,253
16.1,-12.15,253
16.1,-12.2,253
16.1,-12.25,253
16.1,-12.3,253
16.1,-12.35,253
16.1,-12.4,253
16.1,-12.45,253
16.1,-12.5,253
16.1,-12.55,253
16.1,-12.6,253
16.1,-12.65,253
16.1,-12.7,253
16.1,-12.75,253
16.1,-12.8,253
16.1,-12.85,253
16.1,-12.9,253
16.1,-12.95,253
16.1,-13.0,253
16.1,-13.05,253
16.1,-13.1,253
16.1,-13.15,253
16.1,-13.2,253
16.1,-13.25,253
16.1,-13.3,253
16.1,-13.35,253
16.1,-13.4,253
16.1,-13.45,253
16.1,-13.5,253
16.1,-13.55,253
16.1,-13.6,253
16.1,-13.65,253
16.1,-13.7,253
16.1,-13.75,253
16.1,-13.8,253
16.1,-13.85,253
16.1,-13.9,253
16.1,-13.95,253
16.1,-14.0,253
16.1,-14.05,253
16.1,-14.1,253
16.1,-14.15,253
16.1,-14.2,253
16.1,-14.25,253
16.1,-14.3,253
16.1,-14.35,253
16.1,-14.4,253
16.1,-14.45,253
16.1,-14.5,253
16.1,-14.55,253
16.1,-14.6,253
16.1,-14.65,253
16.1,-14.7,253
16.1,-14.75,253
16.1,-14.8,253
16.1,-14.85,253
16.1,-14.9,253
16.1,-14.95,253
16.1,-15.0,253
16.15,-12.1,253
16.15,-12.15,253
16.15,-12.2,253
16.15,-12.25,253
16.15,-12.3,253
16.15,-12.35,253
16.15,-12.4,253
16.15,-12.45,253
16.15,-12.5,253
16.15,-12.55,253
16.15,-12.6,253
16.15,-12.65,253
16.15,-12.7,253
16.15,-12.75,253
16.15,-12.8,253
16.15,-12.85,253
16.15,-12.9,253
16.15,-12.95,253
16.15,-13.0,253
16.15,-13.05,253
16.15,-13.1,253
16.15,-13.15,253
16.15,-13.2,253
16.15,-13.25,253
16.15,-13.3,253
16.15,-13.35,253
16.15,-13.4,253
16.15,-13.45,253
16.15,-13.5,253
16.15,-13.55,253
16.15,-13.6,253
16.15,-13.65,253
16.15,-13.7,253
16.15,-13.75,253
16.15,-13.8,253
16.15,-13.85,253
16.15,-13.9,253
16.15,-13.95,253
16.15,-14.0,253
16.15,-14.05,253
16.15,-14.1,253
16.15,-14.15,253
16.15,-14.2,253
16.15,-14.25,253
16.15,-14.3,253
16.15,-14.35,253
16.15,-14.4,253
16.15,-14.45,253
16.15,-14.5,253
16.15,-14.55,253
16.15,-14.6,253
16.15,-14.65,253
16.15,-14.7,253
16.15,-14.75,253
16.15,-14.8,253
16.15,-14.85,253
16.15,-14.9,253
16.15,-14.95,253
16.15,-15.0,253
16.2,-12.1,253
16.2,-12.15,253
16.2,-12.2,253
16.2,-12.25,253
16.2,-12.3,253
16.2,-12.35,253
16.2,-12.4,253
16.2,-12.45,253
16.2,-12.5,253
16.2,-12.55,253
16.2,-12.6,253
16.2,-12.65,253
16.2,-12.7,253
16.2,-12.75,253
16.2,-12.8,253
16.2,-12.85,253
16.2,-12.9,253
16.2,-12.95,253
16.2,-13.0,253
16.2,-13.05,253
16.2,-13.1,253
16.2,-13.15,253
16.2,-13.2,253
16.2,-13.25,253
16.2,-13.3,253
16.2,-13.35,253
16.2,-13.4,253
16.2,-13.45,253
16.2,-13.5,253
16.2,-13.55,253
16.2,-13.6,253
16.2,-13.65,253
16.2,-13.7,253
16.2,-13.75,253
16.2,-13.8,253
16.2,-13.85,253
16.2,-13.9,253
16.2,-13.95,253
16.2,-14.0,253
16.2,-14.05,253
16.2,-14.1,253
16.2,-14.15,253
16.2,-14.2,253
16.2,-14.25,253
16.2,-14.3,253
16.2,-14.35,253
16.2,-14.4,253
16.2,-14.45,253
