x,y,cost
20.2,-5.7,253
20.2,-5.75,253
20.2,-5.8,253
20.2,-5.85,253
20.2,-5.9,253
20.25,-3.0,253
20.25,-3.05,253
20.25,-3.1,253
20.25,-3.15,253
20.25,-3.2,253
20.25,-3.25,253
20.25,-3.3,253
20.25,-3.35,253
20.25,-3.4,253
20.25,-3.45,253
20.25,-3.5,253
20.25,-3.55,253
20.25,-3.6,253
20.25,-3.65,253
20.25,-3.7,253
20.25,-3.75,253
20.25,-3.8,253
20.25,-3.85,253
20.25,-3.9,253
20.25,-3.95,253
20.25,-4.0,253
20.25,-4.05,253
20.25,-4.1,253
20.25,-4.15,253
20.25,-4.2,253
20.25,-4.25,253
20.25,-4.3,253
20.25,-4.35,253
20.25,-4.4,253
20.25,-4.45,253
20.25,-4.5,253
20.25,-4.55,253
20.25,-4.6,253
20.25,-4.65,253
20.25,-4.7,253
20.25,-4.75,253
20.25,-4.8,253
20.25,-4.85,253
20.25,-4.9,253
20.25,-4.95,253
20.25,-5.0,253
20.25,-5.05,253
20.25,-5.1,253
20.25,-5.15,253
20.25,-5.2,253
20.25,-5.25,253
20.25,-5.3,253
20.25,-5.35,253
20.25,-5.4,253
20.25,-5.45,253
20.25,-5.5,253
20.25,-5.55,253
20.25,-5.6,253
20.25,-5.65,253
20.25,-5.7,253
20.25,-5.75,253
20.25,-5.8,253
20.25,-5.85,253
20.25,-5.9,253
20.3,-3.0,253
20.3,-3.05,253
20.3,-3.1,253
20.3,-3.15,253
20.3,-3.2,253
20.3,-3.25,253
20.3,-3.3,253
20.3,-3.35,253
20.3,-3.4,253
20.3,-3.45,253
20.3,-3.5,253
20.3,-3.55,253
20.3,-3.6,253
20.3,-3.65,253
20.3,-3.7,253
20.3,-3.75,253
20.3,-3.8,253
20.3,-3.85,253
20.3,-3.9,253
20.3,-3.95,253
20.3,-4.0,253
20.3,-4.05,253
20.3,-4.1,253
20.3,-4.15,253
20.3,-4.2,253
20.3,-4.25,253
20.3,-4.3,253
20.3,-4.35,253
20.3,-4.4,253
20.3,-4.45,253
20.3,-4.5,253
20.3,-4.55,253
20.3,-4.6,253
20.3,-4.65,253
20.3,-4.7,253
20.3,-4.75,253
20.3,-4.8,253
20.3,-4.85,253
20.3,-4.9,253
20.3,-4.95,253
20.3,-5.0,253
20.3,-5.05,253
20.3,-5.1,253
20.3,-5.15,253
20.3,-5.2,253
20.3,-5.25,253
20.3,-5.3,253
20.3,-5.35,253
20.3,-5.4,253
20.3,-5.45,253
20.3,-5.5,253
20.3,-5.55,253
20.3,-5.6,253
20.3,-5.65,253
20.3,-5.7,253
20.3,-5.75,253
20.3,-5.8,253
20.3,-5.85,253
20.3,-5.9,253
20.35,-3.0,253
20.35,-3.05,253
20.35,-3.1,253
20.35,-3.15,253
20.35,-3.2,253
20.35,-3.25,253
20.35,-3.3,253
20.35,-3.35,253
20.35,-3.4,253
20.35,-3.45,253
20.35,-3.5,253
20.35,-3.55,253
20.35,-3.6,253
20.35,-3.65,253
20.35,-3.7,253
20.35,-3.75,253
20.35,-3.8,253
20.35,-3.85,253
20.35,-3.9,253
20.35,-3.95,253
20.35,-4.0,253
20.35,-4.05,253
20.35,-4.1,253
20.35,-4.15,253
20.35,-4.2,253
20.35,-4.25,253
20.35,-4.3,253
20.35,-4.35,253
20.35,-4.4,253
20.35,-4.45,253
20.35,-4.5,253
20.35,-4.55,253
20.35,-4.6,253
20.35,-4.65,253
20.35,-4.7,253
20.35,-4.75,253
20.35,-4.8,253
20.35,-4.85,253
20.35,-4.9,253
20.35,-4.95,253
20.35,-5.0,253
20.35,-5.05,253
20.35,-5.1,253
20.35,-5.15,253
20.35,-5.2,253
20.35,-5.25,253
20.35,-5.3,253
20.35,-5.35,253
20.35,-5.4,253
20.35,-5.45,253
20.35,-5.5,253
20.35,-5.55,253
20.35,-5.6,253
20.35,-5.65,253
20.35,-5.7,253
20.35,-5.75,253
20.35,-5.8,253
20.35,-5.85,253
20.35,-5.9,253
20.4,-3.0,253
20.4,-3.05,253
20.4,-3.1,253
20.4,-3.15,253
20.4,-3.2,253
20.4,-3.25,253
20.4,-3.3,253
20.4,-3.35,253
20.4,-3.4,253
20.4,-3.45,253
20.4,-3.5,253
20.4,-3.55,253
20.4,-3.6,253
20.4,-3.65,253
