x,y,cost
8.0,-12.1,253
8.0,-12.15,253
8.0,-12.2,253
8.0,-12.25,253
8.0,-12.3,253
8.0,-12.35,253
8.0,-12.4,253
8.0,-12.45,253
8.0,-12.5,253
8.0,-12.55,253
8.0,-12.6,253
8.0,-12.65,253
8.0,-12.7,253
8.0,-12.75,253
8.0,-12.8,253
8.0,-12.85,253
8.0,-12.9,253
8.0,-12.95,253
8.0,-13.0,253
8.0,-13.05,253
8.0,-13.1,253
8.0,-13.15,253
8.0,-13.2,253
8.0,-13.25,253
8.0,-13.3,253
8.0,-13.35,253
8.0,-13.4,253
8.0,-13.45,253
8.0,-13.5,253
8.0,-13.55,253
8.0,-13.6,253
8.0,-13.65,253
8.0,-13.7,253
8.0,-13.75,253
8.0,-13.8,253
8.0,-13.85,253
8.0,-13.9,253
8.0,-13.95,253
8.0,-14.0,253
8.0,-14.05,253
8.0,-14.1,253
8.0,-14.15,253
8.0,-14.2,253
8.0,-14.25,253
8.0,-14.3,253
8.0,-14.35,253
8.0,-14.4,253
8.0,-14.45,253
8.0,-14.5,253
8.0,-14.55,253
8.0,-14.6,253
8.0,-14.65,253
8.0,-14.7,253
8.0,-14.75,253
8.0,-14.8,253
8.0,-14.85,253
8.0,-14.9,253
8.0,-14.95,253
8.0,-15.0,253
8.05,-12.1,253
8.05,-12.15,253
8.05,-12.2,253
8.05,-12.25,253
8.05,-12.3,253
8.05,-12.35,253
8.05,-12.4,253
8.05,-12.45,253
8.05,-12.5,253
8.05,-12.55,253
8.05,-12.6,253
8.05,-12.65,253
8.05,-12.7,253
8.05,-12.75,253
8.05,-12.8,253
8.05,-12.85,253
8.05,-12.9,253
8.05,-12.95,253
8.05,-13.0,253
8.05,-13.05,253
8.05,-13.1,253
8.05,-13.15,253
8.05,-13.2,253
8.05,-13.25,253
8.05,-13.3,253
8.05,-13.35,253
8.05,-13.4,253
8.05,-13.45,253
8.05,-13.5,253
8.05,-13.55,253
8.05,-13.6,253
8.05,-13.65,253
8.05,-13.7,253
8.05,-13.75,253
8.05,-13.8,253
8.05,-13.85,253
8.05,-13.9,253
8.05,-13.95,253
8.05,-14.0,253
8.05,-14.05,253
8.05,-14.1,253
8.05,-14.15,253
8.05,-14.2,253
8.05,-14.25,253
8.05,-14.3,253
8.05,-14.35,253
8.05,-14.4,253
8.05,-14.45,253
8.05,-14.5,253
8.05,-14.55,253
8.05,-14.6,253
8.05,-14.65,253
8.05,-14.7,253
8.05,-14.75,253
8.05,-14.8,253
8.05,-14.85,253
8.05,-14.9,253
8.05,-14.95,253
8.05,-15.0,253
8.1,-12.1,253
8.1,-12.15,253
8.1,-12.2,253
8.1,-12.25,253
8.1,-12.3,253
8.1,-12.35,253
8.1,-12.4,253
8.1,-12.45,253
8.1,-12.5,253
8.1,-12.55,253
8.1,-12.6,253
8.1,-12.65,253
8.1,-12.7,253
8.1,-12.75,253
8.1,-12.8,253
8.1,-12.85,253
8.1,-12.9,253
8.1,-12.95,253
8.1,-13.0,253
8.1,-13.05,253
8.1,-13.1,253
8.1,-13.15,253
8.1,-13.2,253
8.1,-13.25,253
8.1,-13.3,253
8.1,-13.35,253
8.1,-13.4,253
8.1,-13.45,253
8.1,-13.5,253
8.1,-13.55,253
8.1,-13.6,253
8.1,-13.65,253
8.1,-13.7,253
8.1,-13.75,253
8.1,-13.8,253
8.1,-13.85,253
8.1,-13.9,253
8.1,-13.95,253
8.1,-14.0,253
8.1,-14.05,253
8.1,-14.1,253
8.1,-14.15,253
8.1,-14.2,253
8.1,-14.25,253
8.1,-14.3,253
8.1,-14.35,253
8.1,-14.4,253
8.1,-14.45,253
8.1,-14.5,253
8.1,-14.55,253
8.1,-14.6,253
8.1,-14.65,253
8.1,-14.7,253
8.1,-14.75,253
8.1,-14.8,253
8.1,-14.85,253
8.1,-14.9,253
8.1,-14.95,253
8.1,-15.0,253
